Где находится клуб?	Клуб "Diamond" расположен по адресу: г. Москва, Ленинский проспект, д. 42, этаж 3. Рядом со станцией метро "Ленинский проспект".
Какой график работы?	Мы работаем с 6:00 до 24:00 без выходных. Круглосуточно работает только зона кардио с электронным пропуском.
Какой номер телефона?	Наш контактный телефон: +7 (495) 123-45-67. Звонки принимаются с 9:00 до 22:00.
Какой у вас email?	Наша почта для связи: info@diamond-fitness.ru.
Какие виды абонементов есть?	У нас есть разовые посещения, месячные абонементы (утренние, дневные, полные, безлимитные) и корпоративные программы. Детали уточняйте у менеджера.
Сколько стоит месячный абонемент?	Стоимость полного месячного абонемента начинается от 3500 рублей. Точная цена зависит от выбранного тарифа и акций.
Есть ли пробное занятие?	Да, мы предлагаем одно бесплатное пробное занятие с тренером. Необходима предварительная запись по телефону.
Что входит в стоимость абонемента?	Абонемент дает доступ к тренажерному залу, кардиозоне, групповым занятиям по расписанию, раздевалкам и душевым. SPA-зона и персональные тренировки оплачиваются отдельно.
Нужна ли справка от врача?	Да, для занятий в тренажерном зале требуется справка от терапевта об отсутствии противопоказаний. Для бассейна - справка от дерматолога.
У вас есть бассейн?	Да, в нашем клубе есть 25-метровый бассейн с 4 дорожками. Посещение входит в абонементы "Полный" и "Безлимитный".
Какие есть групповые занятия?	Мы проводим йогу, пилатес, функциональный тренинг, HIIT, стретчинг, танцевальные классы (Zumba, танго) и силовые уроки (Body Pump). Расписание обновляется еженедельно.
Можно ли заниматься с тренером?	Да, у нас работают сертифицированные персональные тренеры. Первая ознакомительная тренировка - бесплатно. Далее стоимость от 1500 рублей/занятие.
Есть ли детские занятия?	Да, у нас есть секции для детей: детская йога (4-6 лет), гимнастика (7-10 лет) и функциональный тренинг для подростков (11-15 лет).
Что такое "утренний абонемент"?	Это абонемент, который действует с 6:00 до 12:00 в будние дни. Стоит на 40% дешевле полного абонемента.
Как заморозить абонемент?	Вы можете заморозить абонемент на срок от 7 до 30 дней один раз в год. Для этого нужно написать заявление администратору.
Что надеть на тренировку?	Любая удобная спортивная одежда и обувь. Для занятий в зале - кроссовки с твердой подошвой. В бассейне - купальник/плавки и шапочка.
Есть ли парковка?	Да, для наших клиентов бесплатная парковка на 2 часа при условии validation стикера на ресепшене.
Что такое "Зона Recovery"?	Это наша уникальная SPA-зона, которая включает сауну, хамам, ледяную купель и зону массажа. Доступ по отдельному абонементу или разово.
Как отменить абонемент?	Абонемент можно отменить, написав заявление за 10 дней до окончания текущего платежного периода. Деньги возвращаются за неиспользованные дни за вычетом 20% от суммы.
Есть ли у вас акции?	Да, мы регулярно проводим акции. Сейчас действует скидка 15% на все абонементы при покупке онлайн. Следите за нашими соцсетями!
